seq_Empresa;nom_empresa
1;CONSORCIO EXPRESS SAN CRISTOBAL
2;CONSORCIO EXPRESS USAQUEN
3;ESTE ES MI BUS CALLE 80
4;ESTE ES MI BUS TINTAL ZONA FRANCA
5;ETIB
6;GMOVIL ENGATIVA
7;MASIVO CAPITAL KENNEDY
8;MASIVO CAPITAL SUBA ORIENTAL
9;SUMA
10;TRANZIT
